Balance,Bonus_miles,Flight_miles_12months,Flight_trans_12_months,Days_since_enroll
28143,174,0,0,7000
19244,215,0,0,6968
41354,4123,0,0,7034
14776,500,0,0,6952
97752,43300,2077,4,6935
16420,0,0,0,6942
84914,27482,0,0,6994
20856,5250,250,1,6938
443003,1753,3850,12,6948
104860,28426,1150,3,6931
40091,7278,0,0,6959
96522,61105,0,0,6924
43382,11150,0,0,6924
43097,3258,0,0,6918
17648,0,0,0,6912
28495,49442,0,0,6912
51890,48963,0,0,6910
13958,4291,0,0,6905
91473,27408,0,0,6903
23354,10447,0,0,6896
120576,58831,250,2,6896
185681,13300,1800,9,6896
20584,3450,3450,11,6884
66275,2533,150,1,6884
205651,4025,700,4,7932
20726,1375,0,0,7924
18521,1227,1227,2,7917
8828,0,0,0,7914
59763,33772,100,1,7907
19221,4655,500,1,7896
177926,20797,0,0,7886
10021,0,0,0,7879
276571,42044,0,0,7872
18047,100,0,0,7868
43832,0,0,0,7865
123759,50572,2500,5,7865
23193,650,550,3,7861
68666,350,350,2,7861
59990,27878,0,0,7854
2176,0,0,0,7847
34616,1750,500,1,7850
10470,38094,0,0,7840
60313,10000,3250,9,7829
619393,15008,0,0,7819
121260,18493,0,0,7808
288865,23600,2000,4,6884
92336,11214,0,0,6884
36924,5900,300,2,6879
70312,34678,500,1,6875
17051,1150,1150,4,6868
108137,6368,6368,5,6844
1300,370,0,0,6868
118531,44577,0,0,6868
121395,4970,650,2,6889
38348,0,0,0,6861
14448,1625,0,0,6856
75971,34339,0,0,6869
36298,3100,600,3,6865
38077,34024,0,0,6837
95118,23188,2200,7,6865
134457,15588,0,0,6861
19918,17601,0,0,6863
10120,0,0,0,6864
362642,28079,0,0,6835
80250,895,0,0,6833
53914,33767,5550,29,6826
9375,1750,0,0,6826
83237,35287,0,0,6837
230715,24047,0,0,6826
47457,12621,0,0,7766
84409,15436,1150,4,7766
252386,39787,0,0,7787
550367,12500,50,1,7801
12646,631,631,4,7787
123867,25308,0,0,7759
129871,15776,0,0,7752
109380,7537,0,0,7749
111157,32883,0,0,7771
49238,38037,0,0,7801
38896,76988,556,1,7771
4340,32685,0,0,7733
88443,1200,1200,3,6837
8454,498,0,0,6821
61990,1625,0,0,6833
24093,1750,0,0,6819
35418,58557,900,3,6813
40284,7719,0,0,6827
609477,21422,1200,8,6820
62553,7672,700,1,6819
48433,3500,500,1,6807
20508,22250,1250,5,6794
2000,2000,2000,4,6809
78629,36679,0,0,6817
143566,5000,1500,3,6785
185549,110859,2950,16,6778
16796,2875,0,0,6773
57346,5560,0,0,6766
102062,44247,0,0,6758
22324,1375,0,0,6753
64824,20184,0,0,6770
25076,57203,0,0,6750
8053,0,0,0,6750
35119,0,0,0,6749
28667,3861,2050,5,6749
34327,0,0,0,6745
3734,61096,150,2,6760
96627,49059,2300,9,6738
43498,0,0,0,6759
84674,46335,50,1,6738
15098,32917,550,3,6737
181019,18415,0,0,7714
298911,8550,2550,8,7714
124198,66330,4833,10,7710
56906,2015,0,0,7707
295638,5422,818,2,7700
67018,23260,0,0,7698
143967,7346,0,0,7689
969559,2500,1000,2,7718
122705,24222,0,0,7682
16583,2625,0,0,7682
77540,1000,0,0,7683
205126,126630,2250,10,7668
81974,37266,1050,3,7661
47258,24768,0,0,7659
77699,42775,0,0,7654
133954,37670,1500,3,7654
602064,194753,2250,10,7652
213150,56308,5200,14,7645
48333,10123,0,0,6737
142175,37461,0,0,6732
17469,0,0,0,6730
19823,1095,335,1,6730
145074,8000,0,0,6746
101101,10850,1850,6,6725
125948,15155,0,0,6761
259484,19172,7172,23,6723
129298,29099,0,0,6722
103302,53552,700,3,6718
160447,8578,0,0,6716
15472,3500,0,0,6715
39628,0,0,0,6711
6112,0,0,0,6709
31769,450,450,2,6707
126787,35021,0,0,6701
41547,16857,0,0,6697
100640,7600,1600,5,6708
18707,100,0,0,6693
50593,58208,1500,2,6689
84631,20415,0,0,6736
24868,205,0,0,6689
77097,42403,1718,4,6683
930410,211284,2250,6,7640
298121,60808,500,1,7640
87474,4581,0,0,7634
48707,37655,0,0,7631
220081,52574,500,1,7626
212976,19926,0,0,7624
44182,12313,0,0,7619
228829,59852,0,0,7612
46823,5860,0,0,7613
69110,18500,0,0,7598
120700,55323,1500,1,7598
152945,18604,3604,2,7598
10302,30298,0,0,7591
80331,15489,0,0,7634
69882,180,0,0,7582
95658,5269,0,0,7584
402874,74800,0,0,7582
370941,44615,0,0,7577
21694,45230,700,2,7575
71767,67335,0,0,7570
35820,0,0,0,7575
352508,23740,1000,2,7563
149285,15656,3250,6,7561
120941,42301,0,0,7588
451673,43533,900,4,7575
106961,7357,200,2,7572
28086,7368,0,0,7549
60230,500,0,0,7544
6663,1125,750,4,7575
48145,10735,0,0,7540
127807,17086,1500,3,7537
32948,50,50,1,7569
8933,8860,0,0,7533
49885,23640,0,0,7533
89999,11694,0,0,7530
707079,57173,3450,12,7523
211595,3250,0,0,7521
410795,73679,0,0,7514
72173,2954,232,1,7509
123516,240544,500,2,7507
143080,44373,3928,17,7575
386061,107813,0,0,7500
52738,0,0,0,7498
24523,100,0,0,7493
134601,0,0,0,7493
32742,61857,0,0,7488
108341,19670,0,0,7488
8669,11397,0,0,7486
118940,36001,150,1,7484
41385,26948,0,0,7481
28621,13878,1400,10,7479
16230,486,0,0,7477
152881,79687,500,1,7474
37348,0,0,0,7472
51468,2278,0,0,7460
95989,92159,1329,4,7518
23184,3694,1150,3,7467
27381,18009,0,0,7524
6854,0,0,0,7467
201346,99612,600,4,7463
31588,2947,0,0,7463
204582,4671,0,0,7498
8298,20087,0,0,7498
10097,2700,2700,1,7498
114356,27308,0,0,7456
1344,1134,0,0,7498
59797,7069,0,0,7444
189053,24156,0,0,7439
143481,45891,0,0,7437
1302051,90653,3050,7,7467
229744,68754,550,2,7467
75039,2750,250,1,7435
20203,750,0,0,7467
193976,10849,0,0,7416
98224,5570,0,0,7467
117329,6448,0,0,7416
119239,36362,250,1,7467
53715,7164,300,2,7416
153747,58689,0,0,7409
133309,23987,0,0,7415
81380,56524,0,0,7404
22074,6039,0,0,7404
24051,8764,0,0,7395
11449,9057,0,0,7397
182317,19489,273,1,7397
46184,3125,500,1,7388
285116,8471,500,1,7406
30962,97683,6400,18,7360
15525,3853,0,0,7406
163530,88987,0,0,7406
2075,5002,0,0,7374
227881,41186,0,0,7369
118934,66222,2250,17,7354
468175,141615,0,0,7348
12526,56076,3850,11,7375
176090,5300,2200,6,7344
15221,4425,0,0,7361
92875,60990,0,0,7344
88702,9620,50,1,7406
62882,1925,0,0,7375
30015,5875,0,0,7341
87293,21584,1050,2,7406
45225,14711,0,0,7339
96098,12500,0,0,7339
236274,61515,0,0,7375
423540,8534,2100,9,7375
25279,14938,0,0,7327
198137,6303,500,1,7323
402312,77122,250,3,7375
149733,605,500,1,7323
70730,1319,0,0,7316
164613,11095,0,0,7375
47557,10267,200,3,7345
35065,5400,1400,3,7311
105769,23097,0,0,7345
35900,0,0,0,7304
43088,4000,0,0,7345
58703,46473,950,4,7296
70354,120907,0,0,7290
145726,19019,0,0,7292
121639,67286,0,0,7288
70676,74993,0,0,7288
18263,2100,1000,2,7285
51250,0,0,0,7283
1704838,17108,4823,23,7283
12895,0,0,0,7277
120073,12423,0,0,7276
2003,980,0,0,7274
22652,57642,0,0,7271
168515,4600,0,0,7269
44873,38740,850,2,7267
190542,8487,0,0,7267
156230,5300,1300,5,7260
79211,36776,0,0,7260
98006,46349,2309,3,7332
33982,68320,0,0,7255
62998,11326,0,0,7253
137908,57713,0,0,7250
45586,37459,0,0,7246
568174,67121,1000,2,7243
145993,95082,500,1,7229
294881,84800,0,0,7279
12195,3875,0,0,7229
16622,0,0,0,7229
141813,39743,0,0,7254
58139,38408,150,1,7227
238868,20521,0,0,7220
149286,42141,2400,13,7222
35945,0,0,0,7220
28218,750,750,4,7232
7061,7100,0,0,7218
217846,49198,0,0,7215
364387,28200,0,0,7213
125465,14750,0,0,7206
94222,52081,0,0,7201
123370,7478,0,0,7197
383030,8001,3226,15,7326
112969,7572,0,0,7192
46430,2100,500,1,7194
179433,30476,0,0,7187
20746,37534,0,0,7185
61455,28765,0,0,7183
714717,119162,1750,4,7183
179559,17819,1000,2,7173
119977,9275,1400,4,7226
16928,1000,0,0,7173
65316,3917,0,0,7254
766419,11398,398,1,7162
52060,6500,0,0,7162
84700,13544,0,0,7162
205523,32404,1000,2,7159
20457,51399,0,0,7193
278727,21666,9166,16,7155
50325,11930,0,0,7155
455228,258,258,2,7141
73849,11793,0,0,7250
388455,114329,6078,8,7164
138999,63738,600,4,7153
65573,3875,0,0,7130
172288,66879,0,0,7130
47958,0,0,0,7130
133002,15672,150,1,7117
42363,0,0,0,7120
133370,44299,0,0,7101
278457,57313,1000,2,7101
105166,37663,0,0,7120
34956,0,0,0,7172
46963,1500,0,0,7117
55788,24831,0,0,7314
174910,63960,200,1,7110
13812,15149,0,0,7110
38718,0,0,0,7314
112501,19140,0,0,7101
54005,1500,0,0,7099
66863,36532,0,0,7099
93045,17636,0,0,7092
197328,60447,0,0,7092
151301,37772,0,0,7092
87938,11268,0,0,7085
15283,1250,0,0,7132
105423,20802,0,0,7078
312512,100,100,1,7078
13680,0,0,0,7073
41279,14462,1650,6,7064
25313,7491,0,0,7064
148691,3000,1000,2,7064
224081,40108,150,2,7059
51088,0,0,0,7057
95305,3189,0,0,7054
22080,12200,1950,9,7050
11660,140,0,0,7050
222227,38127,500,1,7047
16200,160,0,0,7043
38227,8612,0,0,7036
80214,500,500,1,7029
53985,1000,0,0,7029
14414,0,0,0,7024
44457,225,0,0,7026
161813,126941,0,0,7026
138020,6568,0,0,7024
107707,19407,2211,12,7024
95656,62666,0,0,7019
149678,0,0,0,7022
15113,10574,0,0,7017
231,29900,5300,15,7015
22380,300,200,1,7010
146263,20853,350,1,7001
24598,0,0,0,7040
76150,36907,0,0,6998
377252,230629,6393,13,6996
167670,15907,0,0,6994
86853,42293,500,1,6980
479989,66516,1600,6,6980
28193,103456,0,0,6980
67086,18157,0,0,6974
35969,11665,0,0,6977
53790,28717,0,0,8296
198859,17855,500,1,8296
91939,1244,0,0,8296
88449,11402,1450,5,8296
54842,20792,0,0,8296
11189,9044,0,0,8296
16999,140,0,0,8296
114713,7142,0,0,8296
1612,955,0,0,8296
97763,2000,0,0,8296
15129,0,0,0,8296
15669,1205,0,0,8296
26720,913,0,0,8296
205292,5471,0,0,8296
56635,1024,359,2,8296
127297,8510,0,0,8296
8927,0,0,0,8296
507506,102279,4485,13,8296
145723,59858,0,0,8296
6458,0,0,0,8296
267640,6000,0,0,8296
5581,0,0,0,8296
10732,1296,0,0,8296
620498,25395,1750,14,8296
68963,37723,0,0,8296
109640,66983,5500,17,8296
225802,74340,200,2,8296
58452,0,0,0,8296
109087,10462,0,0,8296
68286,22831,0,0,8296
68464,240,0,0,8296
131960,16081,0,0,8296
199956,0,0,0,8296
529886,23866,7741,15,8296
23529,500,0,0,8296
190295,3501,0,0,8296
21083,129330,1000,2,8296
117860,62758,0,0,8296
118844,28731,400,2,8289
60493,9000,0,0,8289
491987,68007,700,2,8289
87692,2310,500,1,8289
78028,36269,0,0,8289
251286,0,0,0,8289
17575,0,0,0,8289
50431,1000,0,0,8289
153597,56567,0,0,8289
74579,4600,600,8,8289
2494,0,0,0,8289
96031,46588,0,0,8289
353678,141230,1450,5,8289
50052,49383,0,0,8289
13381,1000,0,0,8289
25123,2030,0,0,8289
132555,24775,350,1,8289
14528,6000,3000,6,8289
24038,6290,0,0,8289
192104,39010,1750,8,8289
106773,12900,1400,8,8289
229397,22873,0,0,8289
14732,100,0,0,8289
383129,23608,500,1,8289
11431,1759,759,3,8289
175461,40997,0,0,8289
52953,500,0,0,8289
182291,24155,0,0,8289
198317,61714,0,0,8289
49053,6498,950,5,8289
22772,0,0,0,8289
34170,15476,150,1,8289
158483,9018,0,0,8289
43285,28613,0,0,8252
52980,17078,0,0,8237
74342,4389,0,0,8228
139849,19946,0,0,8228
26080,9872,0,0,8228
29469,2522,0,0,8228
189252,2991,0,0,8228
382546,136619,3000,6,8228
1113394,60883,2600,9,8228
459681,95531,0,0,8228
83590,3708,0,0,8228
82528,2100,600,4,8228
5600,125,0,0,8228
743745,4100,2500,18,8228
43954,63463,250,1,8228
52005,11870,100,1,8228
45494,5021,600,2,8228
171509,40090,6381,23,8151
235947,3982,0,0,8145
153108,25802,500,1,8137
260261,33047,0,0,8146
80223,21248,2050,7,8121
38716,8253,0,0,8114
1125076,23046,0,0,8107
10954,2500,0,0,8095
97099,6325,1700,5,8085
62396,1250,0,0,8075
40645,18348,0,0,8067
82655,101101,700,2,8057
84035,4240,1600,4,8114
1199220,3800,3300,18,8023
86345,13415,350,2,8009
2701,5000,0,0,8002
46874,9689,500,1,7990
10879,78186,3400,12,7981
12742,0,0,0,7966
122904,37380,1300,4,7956
10994,1250,0,0,8007
2318,8747,0,0,7945
11070,0,0,0,7939
21921,0,0,0,7939
162521,57354,0,0,8105
207545,11137,4387,12,8105
86112,35528,0,0,8105
18328,0,0,0,6790
217557,97584,550,2,6679
11504,100,0,0,6675
143200,79837,50,1,6667
160703,32560,0,0,6666
910,5172,0,0,6662
94105,100,0,0,6676
18422,3297,0,0,6653
889456,98959,850,4,6652
9800,10348,3000,25,6651
148318,51197,350,2,6648
26149,5190,0,0,6646
76933,28075,0,0,6646
346178,63803,0,0,6645
22878,9039,0,0,6641
66741,71921,2600,7,6638
134060,46606,0,0,6637
3305,31465,1700,10,6633
28930,8185,0,0,6630
208519,4040,450,2,6627
58951,47994,500,1,6625
25395,2000,0,0,6624
109248,6828,0,0,6618
43387,4942,0,0,6613
52423,26926,0,0,6611
26858,34308,900,3,6606
5410,45890,0,0,6603
18177,12040,0,0,6690
413509,2500,0,0,6598
98472,124421,10250,28,6621
86520,64450,1000,2,6592
16648,625,0,0,6588
267404,263685,3000,6,6584
31478,18885,0,0,6578
17445,4500,500,1,6576
49052,46718,0,0,6575
21689,0,0,0,6570
18302,2197,0,0,6569
26220,2775,0,0,6647
59552,7551,0,0,6473
34962,252,0,0,6208
16153,180,0,0,6491
28931,6500,500,1,6354
202636,19000,0,0,6119
153962,90992,0,0,6567
63311,25048,0,0,6634
8561,2050,1300,2,6675
256219,29823,6568,16,6561
122700,18604,0,0,6556
81419,7769,350,1,6599
13873,4833,0,0,6519
148,190,0,0,6507
178919,23387,0,0,6555
19702,3000,0,0,6554
18820,0,0,0,6549
213849,500,0,0,6549
28077,735,500,1,6575
4528,290,0,0,6565
40418,12678,0,0,6541
380930,22485,213,1,6539
176849,7700,950,4,6539
71235,41004,0,0,6535
76446,63811,0,0,6550
148915,23522,650,2,6532
65034,14331,800,3,6541
35738,41264,0,0,6526
313,1600,0,0,6525
55703,0,0,0,6520
11613,2000,0,0,6519
65672,29089,0,0,6529
84785,4570,0,0,6514
30592,2602,0,0,6512
99293,81040,1000,2,6508
51830,0,0,0,6507
20126,78999,800,3,6506
3294,1330,0,0,6498
11143,2800,800,5,6529
8250,250,0,0,6486
117670,53043,550,1,6505
49454,9548,250,1,6501
58421,1000,0,0,6532
33443,0,0,0,6476
13886,0,0,0,6465
15349,250,0,0,6457
78712,0,0,0,6433
89742,39073,0,0,6498
31311,3961,0,0,6494
133445,3375,0,0,6492
136161,6032,0,0,6463
9998,0,0,0,6448
37904,19052,0,0,6487
41243,27971,300,1,6483
54011,38380,5780,4,6487
5351,100,0,0,6450
23334,0,0,0,6441
11255,0,0,0,6428
48127,41447,0,0,6421
329497,57264,0,0,6484
158895,41954,0,0,6525
34540,27882,0,0,6494
117623,86582,1000,6,6477
126409,28460,0,0,6478
112843,16137,0,0,6472
117240,1200,700,2,6471
7216,21419,0,0,6470
26412,5086,0,0,6552
427528,35098,1600,3,6465
1846,450,0,0,6471
45830,23404,0,0,6459
179042,25078,3350,15,6456
41487,10885,0,0,6451
39601,3733,0,0,6450
46142,14445,0,0,6452
110277,37110,1500,3,6445
122928,12211,0,0,6443
146599,16463,1000,2,6444
338656,52908,0,0,6444
54125,48874,450,3,6463
29861,28190,0,0,6407
126148,6273,0,0,6435
62080,19113,10650,28,6434
175131,53495,0,0,6431
365918,83752,1373,7,6429
105547,24973,500,1,6415
67615,14168,0,0,6413
33554,27410,350,1,6428
163083,3825,450,4,6428
747983,26117,50,1,6427
415070,153183,3802,20,6423
18111,4625,0,0,6463
41526,0,0,0,6406
38021,5538,0,0,6407
17500,0,0,0,6400
5906,280,0,0,6395
70133,7396,0,0,6392
32010,12315,650,2,6421
82605,23049,0,0,6417
77285,63841,0,0,6417
15219,0,0,0,6427
54889,13150,0,0,6438
8910,150,150,1,6413
49891,500,500,1,6392
10484,0,0,0,6375
15496,0,0,0,6324
16714,0,0,0,6214
25835,15153,0,0,6142
3487,710,0,0,6059
347096,12000,0,0,6408
155962,16510,50,1,6406
160572,8163,500,1,6403
257068,5900,400,1,6420
48410,37869,500,1,6395
33269,4675,200,1,6396
25685,185,0,0,6382
50500,4765,0,0,6380
97486,22707,0,0,6387
323459,12000,1500,3,6378
11821,10697,0,0,6387
37039,29976,0,0,6375
28306,233,0,0,6371
109532,128048,7939,26,6372
91974,19223,500,1,6372
65823,28208,300,3,6373
104824,14582,0,0,6366
16061,2750,0,0,6366
55237,5547,0,0,6358
10491,5025,150,1,6357
192334,33950,1450,4,6366
45501,49656,316,1,6375
18661,0,0,0,6352
89668,29130,0,0,6350
53327,8650,650,2,6350
133143,43643,50,1,6385
22268,23582,200,1,6339
26556,2845,720,4,6339
9601,20467,0,0,6338
280561,12154,0,0,6337
146248,2900,1400,3,6333
9483,1000,0,0,6340
119082,4230,3600,14,6340
232171,22258,650,2,6340
369816,46942,7266,17,6340
37381,6091,0,0,6332
173543,92752,0,0,6329
31211,280,100,1,6330
47780,88773,250,2,6329
79479,23167,0,0,6118
81960,37072,700,7,6326
20162,2750,0,0,6324
105683,28386,0,0,6361
234327,30406,150,2,6319
463494,27390,750,1,6323
17334,6783,50,1,6318
57909,5150,0,0,6323
17949,0,0,0,6312
529477,31624,2098,5,6311
71543,0,0,0,6305
111897,14728,0,0,6310
61598,0,0,0,6311
417875,44472,0,0,6308
340874,68090,5676,27,6305
32774,0,0,0,6304
242910,103935,500,1,6296
137843,45416,250,1,6302
30530,5590,2950,9,6298
30973,0,0,0,6298
238749,7134,3134,12,6297
16803,1287,0,0,6291
23553,1587,487,2,6295
48161,41174,0,0,6294
21616,0,0,0,6291
13114,14029,0,0,6289
117120,41278,500,1,6288
52987,17510,0,0,6289
150176,29999,400,1,6284
19002,22675,0,0,6277
60976,97318,7000,14,6282
50675,1100,100,1,6282
65466,5488,0,0,6280
64280,21721,0,0,6280
14523,4197,0,0,6276
384470,20468,0,0,6280
9157,75,0,0,6274
151904,76440,950,8,6273
13781,48914,500,1,6269
40567,18122,0,0,6268
43090,11411,0,0,6259
1875,1250,0,0,6266
126555,41253,0,0,6280
16472,45517,0,0,6262
21270,318,0,0,6256
33410,818,0,0,6255
15750,1065,0,0,6254
104665,9547,0,0,6249
86285,61274,0,0,6249
41967,2125,0,0,6247
35026,9799,500,1,6247
138411,53843,0,0,6247
127693,17383,0,0,6246
52050,43190,0,0,6245
37162,0,0,0,6241
440265,22750,1250,10,6234
66572,8048,450,2,6240
237093,42020,0,0,6240
79561,6333,400,2,6231
131528,10365,500,1,6227
11820,2045,0,0,6227
20810,1713,0,0,6225
189423,63584,600,1,6476
96477,2987,0,0,6221
106471,8444,100,1,6220
33374,20441,0,0,6214
210018,48914,0,0,6217
26740,619,0,0,6213
244216,39166,0,0,6214
76737,34648,0,0,6211
20999,15914,0,0,6206
43179,11915,0,0,6214
119214,10028,0,0,6205
14988,2100,0,0,6203
21334,5472,0,0,6200
104307,51769,450,1,6197
34357,73622,100,1,6198
231437,31266,1550,4,6340
14662,1110,0,0,6197
13144,18615,0,0,6196
10978,14313,0,0,6193
150698,43589,1200,4,6193
18035,811,0,0,6193
194604,6606,0,0,6190
117852,11406,3850,13,6186
32356,22918,0,0,6571
44247,40939,0,0,6184
23431,3546,0,0,6182
37773,8436,0,0,6179
245758,2750,750,2,6179
63587,500,500,1,6184
15088,5625,0,0,6177
152539,65972,0,0,6187
333500,69780,1258,4,6171
15064,2910,0,0,6171
19032,2375,0,0,6169
66434,13041,0,0,6230
146097,6919,0,0,6165
8207,1750,0,0,6184
293648,22148,0,0,6161
147472,20645,0,0,6163
103993,14149,100,1,6158
34651,4000,500,1,6157
102339,47498,0,0,6156
149167,48521,0,0,6155
105249,36093,0,0,6153
55610,5095,0,0,6151
70391,6000,0,0,6150
74645,40367,0,0,6147
26939,29264,0,0,6148
207655,78967,0,0,6144
7421,0,0,0,6142
74924,59650,0,0,6141
17599,100,0,0,6029
5594,370,0,0,5835
66122,11756,0,0,5630
12024,0,0,0,5119
42044,11433,0,0,6140
83105,65077,753,3,6137
152063,34257,1100,3,6159
59546,20730,0,0,6135
1258,475,0,0,6134
75181,2455,1100,3,6133
68255,19077,400,2,6130
58229,53108,500,1,6137
97349,42774,0,0,6128
131424,58814,50,1,6128
24011,20442,0,0,6123
64538,0,0,0,6123
3832,1000,0,0,6120
3268,52263,0,0,6120
36790,7158,0,0,6133
363165,5950,1850,8,6116
179382,4225,0,0,6115
218207,8500,0,0,6114
765738,62133,0,0,6112
54265,0,0,0,6109
69959,16504,0,0,6108
86380,13500,0,0,6102
48321,0,0,0,6102
78130,37251,900,2,6120
25333,11229,300,2,6099
54522,21221,2500,5,6125
75413,31726,0,0,6094
292533,64186,1000,2,6095
114932,3150,1650,12,6092
18932,24660,0,0,6091
35997,71171,900,5,6088
136664,36024,0,0,6086
173191,31503,0,0,6084
16528,250,0,0,6081
119932,22463,5177,11,6077
144171,33200,0,0,6073
77109,60000,0,0,6071
144973,23703,0,0,6280
75027,1390,500,1,6067
96387,43512,0,0,6065
34854,750,650,4,6063
44307,7944,0,0,6060
73836,64748,0,0,6087
20126,0,0,0,6053
56268,33447,100,1,6017
25629,107308,600,2,5966
70774,32635,1400,14,5931
6371,1404,0,0,5905
95595,12060,0,0,5877
51843,40997,0,0,5859
84868,33187,0,0,6057
79629,2550,50,1,6091
58620,2125,0,0,6051
70380,74399,0,0,6050
93473,20257,0,0,6049
131621,27846,6047,11,6045
195563,16715,0,0,6042
21138,4500,0,0,6031
93319,270,100,1,6043
56606,61634,100,1,6039
38763,34652,0,0,6037
16430,8528,0,0,6036
61440,8156,0,0,6032
206648,5132,2450,11,6030
323273,9000,500,1,6028
76702,21568,0,0,6025
19348,17059,0,0,6022
31669,8384,0,0,6018
40902,4850,1350,5,6018
16906,2750,0,0,6017
65508,14000,2500,5,6015
10152,0,0,0,6010
21461,40806,0,0,6011
28979,6494,0,0,6010
24711,3193,500,1,6009
301447,63866,500,1,6004
234308,21078,200,1,6007
37832,0,0,0,6004
135168,29156,300,2,6002
134650,40232,2055,2,6000
20665,19947,0,0,5997
5546,2631,0,0,5995
91736,26724,0,0,5994
444159,0,0,0,5993
94167,6500,500,1,5990
132256,15040,899,3,5988
149959,85844,1400,4,5986
104338,2500,0,0,5982
38312,37419,0,0,5980
1860,65,0,0,5976
54337,2131,230,1,5976
218763,11650,1150,3,5975
26204,4030,2930,4,5989
27876,0,0,0,5972
115533,8867,0,0,5968
129412,62510,0,0,5982
172110,21382,950,3,5944
143378,3000,1500,3,5905
120476,9406,0,0,5870
15835,112171,0,0,5825
289351,147787,500,1,5789
32141,3500,0,0,5768
967,980,0,0,5716
20281,0,0,0,5567
111072,50533,350,1,5541
2111,100,0,0,5962
322454,44591,250,1,5961
4600,140,0,0,5959
23390,1650,150,1,5958
210496,9022,4900,19,5953
40189,0,0,0,5952
21747,0,0,0,5638
212051,76256,2993,6,5523
266200,5000,0,0,5583
54148,40233,350,1,5949
25512,0,0,0,5393
28519,2125,0,0,5405
219387,105913,150,2,5951
163964,11385,0,0,5948
49736,3200,700,3,6038
10084,500,500,1,5946
22988,9347,1200,4,5944
17739,437,0,0,5941
152426,6000,2000,4,5939
34428,2625,0,0,5938
124030,61599,0,0,5934
17336,2375,0,0,5934
290012,64360,650,2,5931
29125,10930,0,0,5945
83848,28202,0,0,5927
133264,74067,0,0,5926
124869,30116,0,0,5924
39233,27545,0,0,5920
13050,13617,0,0,5920
90855,23992,0,0,5919
44824,21107,2000,4,5916
3663,894,0,0,5916
44293,21920,100,1,5913
31319,7552,0,0,5912
40757,14002,0,0,5912
130356,150,150,1,5910
125077,21881,0,0,5905
226826,91660,500,1,5906
38150,16688,0,0,5854
20342,3291,0,0,5829
45781,6498,0,0,5801
144525,2833,0,0,5785
37571,7197,0,0,5762
112013,24943,0,0,5734
30638,48963,0,0,5696
55997,68320,0,0,5899
11447,1945,0,0,5902
17778,0,0,0,5897
13375,15732,9200,28,5916
118572,21426,0,0,5892
13720,0,0,0,5884
11030,0,0,0,5884
8651,41586,950,5,5882
281626,53521,0,0,5878
26367,19649,0,0,5874
120945,4300,300,2,5871
2843,44130,7450,20,5869
11782,0,0,0,5864
